,index,merchantid,listedproducts,totalunitssold,meanunitssoldperproduct,rating,merchantratingscount,meanproductprices,meanretailprices,averagediscount,meandiscount,meanproductratingscount,totalurgencycount,urgencytextrate,family_size
222,222,551c02310570552bbd036dbb,1,10000,10000,4.259,20169,8.0,11.0,28,28.0,3345,1.0,100.0,39.0
223,223,5ad31267ea8764621df718c0,1,10000,10000,4.28,11596,6.0,31.0,81,81.0,2789,,,112.0
224,224,58b81d56e3f66d59b36812ac,1,10000,10000,4.293,9661,7.0,6.0,-16,-16.0,3079,,,-10.0
225,225,53ad2f5a46188e43c8b6bef6,1,10000,10000,4.301,23719,13.0,84.0,85,85.0,2592,,,169.0
226,226,591a999d1a071f7e40e984a4,1,10000,10000,4.301,17621,16.0,14.0,-14,-14.0,3075,1.0,100.0,0.0
227,227,56e7bdeefdc43f585fce9122,1,10000,10000,4.308,9981,13.0,11.0,-18,-18.0,1184,,,-7.0
228,228,53f2db3c104dae6bcae0c271,1,10000,10000,4.311,230951,4.0,4.0,0,0.0,2150,,,4.0
229,229,5577b101429aa92940bc33e7,1,10000,10000,4.314,33675,6.0,6.0,0,0.0,2808,1.0,100.0,6.0
230,230,596c927e94158579f28517e3,1,10000,10000,4.322,1659,8.0,47.0,83,83.0,1631,,,130.0
231,231,5b2604207b94e16c00375350,1,10000,10000,4.324,2736,6.0,6.0,0,0.0,1669,,,6.0
232,232,59797d8e439a9870104928a1,1,10000,10000,4.343,16091,9.0,17.0,48,48.0,2253,,,65.0
233,233,565537c7a9a8a4572be0bef5,1,10000,10000,4.353,12881,17.0,15.0,-13,-13.0,3040,,,2.0
234,234,5bd0a13aa8f4bb2739445be4,1,10000,10000,4.356,2174765,5.66,5.0,-13,-13.0,2068,,,-8.0
235,235,58a6971e0e16e97a6636a1b8,1,10000,10000,4.395,85562,4.66,5.0,7,7.0,1594,,,12.0
236,236,57713183bd6b18740117229d,1,10000,10000,4.396,11333,3.67,4.0,9,9.0,2072,,,13.0
237,237,585037af728de662411bd39a,2,10000,5000,3.775,6876,8.5,8.0,-4,-4.5,486,1.0,50.0,3.5
238,238,5bde9444a53011739fbde291,2,10000,5000,3.818,2127,8.5,8.0,-5,-5.0,707,,,3.0
239,239,5646e6e72a6bdb446aaf6cc8,2,10000,5000,3.88,20037,11.0,10.0,-10,-10.0,402,1.0,50.0,0.0
240,240,58d20e95c7b73b52c9670c22,2,10000,5000,4.048,32778,5.0,6.0,17,17.0,824,1.0,50.0,23.0
241,241,56c55a76cce1893c1b8a1716,2,10000,5000,4.07,5019,5.0,8.0,38,38.0,747,1.0,50.0,46.0
242,242,5b658cbebc3b221445ba1440,2,10000,5000,4.082,8547,7.0,159.0,96,96.0,1632,1.0,50.0,255.0
243,243,58dceeb2a6d6757401114dfd,2,10000,5000,4.106,31916,13.0,11.5,-12,-12.5,1055,,,-1.0
244,244,599bf53b21064f19ffffc891,2,10000,5000,4.124,13127,10.0,18.0,30,29.5,275,1.0,50.0,47.5
245,245,57fc688ffcd3bb1955cb6f31,2,10000,5000,4.217,8242,7.0,26.0,74,74.0,542,1.0,50.0,100.0
246,246,58a6b5d975b8da57c954c719,2,10000,5000,4.286,99283,4.75,4.5,-4,-4.0,749,1.0,50.0,0.5
247,247,5495976a40b3782bc8b3654a,4,8000,2000,3.954,73271,9.75,11.25,5,5.25,563,1.0,25.0,16.5
248,248,5ae296b6cd968d66be12d247,3,7000,2333,4.062,3592,8.67,24.33,27,26.67,266,1.0,33.0,51.0
249,249,587f85cbb8038f4cb049c56c,3,7000,2333,4.08,50864,6.27,14.33,43,43.33,432,,,57.66
250,250,5ae3d438c1d5187ae0dcea90,3,7000,2333,4.147,5042,10.33,27.0,36,36.33,433,,,63.33
251,251,571b38e66c39b141b1ad43e1,4,6200,1550,3.858,3053,5.75,5.5,-3,-3.5,137,,,2.0
252,252,58311e2257e86a1b8863f74c,4,6200,1550,3.968,7076,8.5,33.0,36,35.75,193,3.0,75.0,68.75
253,253,58a99ceca65ebc504a6ebf1e,4,6020,1505,3.966,27175,8.95,42.75,37,37.0,325,1.0,25.0,79.75
254,254,58b92804935861529969e778,3,6010,2003,4.254,6357,5.97,5.33,-11,-10.67,197,2.0,67.0,-5.34
255,255,5d464f4a56a26046dd1bb8a4,2,6000,3000,3.777,779,12.0,11.0,-9,-9.0,491,,,2.0
256,256,5d49403060c79c113a908720,2,6000,3000,3.871,3460,7.5,6.5,-15,-15.0,743,,,-8.5
257,257,583e34bb0299bc7904a92edf,2,6000,3000,4.152,5819,9.0,8.0,-12,-12.0,481,,,-4.0
258,258,5860cf7b0929fc4d76180aed,2,6000,3000,4.194,124563,10.0,9.0,-11,-11.0,484,,,-2.0
259,259,5788a55ba78e3f2dce4126ff,2,6000,3000,4.223,13884,3.5,3.5,0,0.0,858,,,3.5
260,260,58d0c52c19bf8b6b34178db0,2,6000,3000,4.268,30225,9.5,61.0,82,81.5,985,1.0,50.0,142.5
261,261,5268759b736046671957190c,5,5400,1080,3.838,91631,2.31,10.0,75,75.2,187,2.0,40.0,85.2
262,262,55f7c64b3a698c4749f3bccf,4,5250,1313,4.074,14676,7.75,13.5,12,11.5,308,1.0,25.0,25.0
263,263,566a47bfe9fa8a31b3ef5141,5,5250,1050,4.002,25222,6.8,32.4,68,68.0,279,2.0,40.0,100.4
264,264,54d83b6b6b8a771e478558de,3,5200,1733,3.696,4435,3.0,46.67,92,92.33,529,1.0,33.0,139.0
265,265,53f6b7c81c105e2dfac91041,3,5200,1733,4.301,225438,8.67,8.0,-7,-6.67,366,1.0,33.0,1.33
266,266,58ba636a69ad29505a730852,2,5100,2550,3.832,18138,3.37,43.5,54,54.0,154,,,97.5
267,267,5963882dd9b42511248ca27d,2,5100,2550,3.854,2363,10.98,10.0,-6,-6.5,368,1.0,50.0,3.5
268,268,5788dc8d88eb7a2e8a04b1b2,2,5100,2550,3.955,38258,12.5,35.5,33,33.0,458,,,68.5
269,269,5ad4325e9bda4e08bf7fd188,2,5100,2550,4.065,8117,17.0,64.0,36,35.5,386,,,99.5
270,270,5d173ba2dbf7606ee45e0b19,2,5100,2550,4.216,7851,6.0,17.0,65,65.0,252,,,82.0
271,271,5b235f8ad1c3603c027fdcda,2,5100,2550,4.218,5841,10.0,9.5,-3,-3.5,1092,,,6.0
272,272,583e3e7a5022c71b82d1b18c,2,5100,2550,4.236,2199,6.34,13.5,28,28.0,425,1.0,50.0,41.5
273,273,5817f156d8ef7848c3b400cc,2,5100,2550,4.386,73595,11.5,128.5,91,90.5,277,2.0,100.0,219.0
274,274,593aa1956a74d26d7914a7e4,1,5000,5000,3.682,1021,12.0,11.0,-9,-9.0,887,,,2.0
275,275,59a8267535e73b1fe45b702e,1,5000,5000,3.687,1686,7.0,6.0,-16,-16.0,1212,,,-10.0
276,276,5832a8766945cb1c96d3e2d8,1,5000,5000,3.795,12348,18.0,27.0,34,34.0,1058,,,61.0
277,277,58314fcb7284901b7ca0d358,1,5000,5000,3.8,9678,8.0,8.0,0,0.0,555,,,8.0
278,278,57ac6144abd6d018985e34a7,1,5000,5000,3.819,24095,15.0,13.0,-15,-15.0,1072,,,-2.0
279,279,5ad6ddb822fad74c8ed3fa3a,1,5000,5000,3.821,1029,9.0,8.0,-12,-12.0,429,,,-4.0
280,280,5ae2fae49d5e9703cfd6b63c,1,5000,5000,3.843,4830,11.0,17.0,36,36.0,692,1.0,100.0,53.0
281,281,59e6e21337f9f80861ee895f,1,5000,5000,3.864,7631,8.0,50.0,84,84.0,1057,1.0,100.0,134.0
282,282,5ba8dffeb2f5b12221c73576,1,5000,5000,3.873,2608,11.0,108.0,90,90.0,299,,,198.0
283,283,58de1f5eef07c15511148726,1,5000,5000,3.897,3990,12.0,16.0,25,25.0,701,,,41.0
284,284,5a6166cbedd44230ea9c60dc,1,5000,5000,3.904,2510,8.0,7.0,-14,-14.0,876,1.0,100.0,-7.0
285,285,5b96067f42ebca48f6c041e8,1,5000,5000,3.911,4571,13.0,17.0,24,24.0,792,1.0,100.0,41.0
286,286,578793716b944637fa356bb4,1,5000,5000,3.923,1411,6.0,6.0,0,0.0,609,,,6.0
287,287,578e02bec0e9340e993d13f4,1,5000,5000,3.946,5365,8.0,7.0,-14,-14.0,309,1.0,100.0,-7.0
288,288,5a1a2758f3c1176a45e41544,1,5000,5000,3.946,1490,11.0,12.0,9,9.0,1045,,,21.0
289,289,576518fcf093bd5e79c5e351,1,5000,5000,3.946,17244,13.0,51.0,75,75.0,127,1.0,100.0,126.0
290,290,5a5a074d87c25b39c7a80ef1,1,5000,5000,3.949,9926,6.0,41.0,86,86.0,939,,,127.0
291,291,5646025ecb3a45127928c032,1,5000,5000,3.958,5660,11.0,10.0,-10,-10.0,1897,,,0.0
292,292,54f804901c36ca266909d090,1,5000,5000,3.96,15173,19.0,17.0,-11,-11.0,1163,1.0,100.0,6.0
293,293,5b5a8a32f114fc2a4ca301d3,1,5000,5000,3.96,7874,14.0,27.0,49,49.0,1442,1.0,100.0,76.0
294,294,57ff8bcd0712e0312f81ed73,1,5000,5000,3.966,1029,2.0,2.0,0,0.0,320,,,2.0
295,295,5ae417f567d25c041f6dd934,1,5000,5000,3.978,1288,12.0,17.0,30,30.0,387,,,47.0
296,296,5837b0dc751d4d1b6e319c73,1,5000,5000,3.981,56745,13.0,11.0,-18,-18.0,1224,,,-7.0
297,297,58c4f51a77361650efb028df,1,5000,5000,3.981,1821,9.0,8.0,-12,-12.0,593,,,-4.0
298,298,58160e10f870301b4bff64fc,1,5000,5000,3.986,3915,9.0,8.0,-12,-12.0,878,1.0,100.0,-4.0
299,299,56d6cf588bd26e03ee663123,1,5000,5000,3.995,7889,9.0,50.0,82,82.0,985,,,132.0
300,300,5825d0a72cf1425389672c35,1,5000,5000,4.002,12574,8.0,7.0,-14,-14.0,581,1.0,100.0,-7.0
301,301,5d55015e3cc46d5c40a15c19,1,5000,5000,4.015,1181,9.0,19.0,53,53.0,588,,,72.0
302,302,5d7c4cc361090057c2bc7331,1,5000,5000,4.018,571,12.0,13.0,8,8.0,192,,,21.0
303,303,5902b4eab3e322098d3b41eb,1,5000,5000,4.022,35751,11.0,88.0,88,88.0,1514,,,176.0
304,304,59afe1e030e1f33208fb2ca0,1,5000,5000,4.025,12033,7.0,6.0,-16,-16.0,601,,,-10.0
305,305,5819eb90d3d4474ddf97b23e,1,5000,5000,4.029,5995,5.0,5.0,0,0.0,763,,,5.0
306,306,59cc8ef5776ab943e535b888,1,5000,5000,4.04,32323,15.0,13.0,-15,-15.0,1632,,,-2.0
307,307,5810b1db3deb94160f5cd4a3,1,5000,5000,4.041,15436,6.0,6.0,0,0.0,616,,,6.0
308,308,58380161e18c0f0c70dd6907,1,5000,5000,4.041,14194,8.0,7.0,-14,-14.0,1248,,,-7.0
309,309,59644507366c0629be364972,1,5000,5000,4.045,12933,9.0,8.0,-12,-12.0,1336,,,-4.0
310,310,59cef71c21064f20067f4313,1,5000,5000,4.046,2700,8.0,17.0,53,53.0,787,,,70.0
311,311,57adc71ab0960b039817e137,1,5000,5000,4.048,24771,9.0,8.0,-12,-12.0,740,,,-4.0
312,312,5a17b55d1f4d8c4f0b44b0ce,1,5000,5000,4.053,15855,18.0,27.0,34,34.0,1903,,,61.0
313,313,563a19d1f75382101530dc15,1,5000,5000,4.054,39395,8.0,7.0,-14,-14.0,1269,,,-7.0
314,314,5972058b439a9828e425dd78,1,5000,5000,4.054,13879,11.0,11.0,0,0.0,1401,,,11.0
315,315,587f55e57f83404d58fe59fb,1,5000,5000,4.057,4335,9.0,8.0,-12,-12.0,613,,,-4.0
316,316,587b795b0366d00c898ea210,1,5000,5000,4.058,2359,9.0,13.0,31,31.0,1017,,,44.0
317,317,58e5a2822d91301f0b3a6bd9,1,5000,5000,4.064,20824,8.0,65.0,88,88.0,1366,,,153.0
318,318,5c17357134f7db2450b03d51,1,5000,5000,4.069,1998,6.0,29.0,80,80.0,615,,,109.0
319,319,53e4bb20ff4d6d1b68bdb6d1,1,5000,5000,4.071,253249,3.67,9.0,60,60.0,510,1.0,100.0,69.0
320,320,5528e31e43a8db0c29241cd1,1,5000,5000,4.081,8500,11.0,10.0,-10,-10.0,728,,,0.0
321,321,5641e263906c9c12737e6725,1,5000,5000,4.089,5534,5.65,9.0,38,38.0,1002,1.0,100.0,47.0
322,322,56dd52e8e0a234169b46c4ca,1,5000,5000,4.091,14275,9.0,8.0,-12,-12.0,827,,,-4.0
323,323,530306fe34067e3f15c41d87,1,5000,5000,4.093,9116,19.0,21.0,10,10.0,1561,1.0,100.0,31.0
324,324,5e50d52818034a6835aeed37,1,5000,5000,4.1,591,2.0,7.0,72,72.0,239,,,79.0
325,325,5b5576f84543f458aee346fb,1,5000,5000,4.11,4220,14.0,26.0,47,47.0,437,,,73.0
326,326,585a8e9a7b78704cd251a232,1,5000,5000,4.121,11883,5.0,5.0,0,0.0,883,,,5.0
327,327,5878edca3497136a61732df9,1,5000,5000,4.131,4921,8.0,7.0,-14,-14.0,983,,,-7.0
328,328,585f9ac5d7d14e4d51c16d4e,1,5000,5000,4.135,33705,7.0,9.0,23,23.0,1169,1.0,100.0,32.0
329,329,543cf22998dc200761d621b2,1,5000,5000,4.138,9465,5.69,17.0,67,67.0,922,,,84.0
330,330,5ae6dab8b125ab6825502d06,1,5000,5000,4.146,2293,3.73,9.0,59,59.0,856,,,68.0
331,331,5911220e84aaef7ce5d732ef,1,5000,5000,4.156,13308,6.0,17.0,65,65.0,1650,,,82.0
332,332,587b63ed3cca004cbd02d7d3,1,5000,5000,4.158,6476,6.0,38.0,85,85.0,1442,,,123.0
333,333,5e673ce450536b05cca259f2,1,5000,5000,4.171,602,11.0,38.0,72,72.0,377,,,110.0
334,334,59e70d8ceea5c546fa152f42,1,5000,5000,4.176,8166,8.0,7.0,-14,-14.0,917,,,-7.0
335,335,56db028b3a9cb801c374b3c6,1,5000,5000,4.177,9486,6.0,6.0,0,0.0,901,,,6.0
336,336,57e00221b8115e1061a6f6d0,1,5000,5000,4.178,4373,8.0,7.0,-14,-14.0,957,,,-7.0
337,337,5a5f153e430b71500d87877c,1,5000,5000,4.193,4632,8.0,58.0,87,87.0,920,,,145.0
338,338,58f0a6738a60c363c1281d72,1,5000,5000,4.193,11680,7.0,25.0,72,72.0,774,,,97.0
339,339,540ec1f21d2d431f2d4b5cb6,1,5000,5000,4.2,3532,8.0,122.0,94,94.0,1355,,,216.0
340,340,54236fbbf6d29616559514c9,1,5000,5000,4.216,41906,8.0,27.0,71,71.0,921,,,98.0
341,341,59538508e81e8a67610d9c8b,1,5000,5000,4.226,13075,14.0,68.0,80,80.0,734,,,148.0
342,342,5ad02d61ccf0c866db06b8c9,1,5000,5000,4.228,2114,5.69,5.0,-13,-13.0,437,,,-8.0
343,343,5a69c113da6ce6220cd14e05,1,5000,5000,4.23,8740,5.0,5.0,0,0.0,667,,,5.0
344,344,5435ef5d01c0c057210e6b32,1,5000,5000,4.231,228676,16.0,34.0,53,53.0,1612,1.0,100.0,87.0
345,345,5950dd272eac1127e00c4883,1,5000,5000,4.232,5985,14.0,89.0,85,85.0,647,,,174.0
346,346,59e968275d6f342463a6157b,1,5000,5000,4.237,24306,13.0,68.0,81,81.0,1095,1.0,100.0,149.0
347,347,56d954c8d30d44338d07e50a,1,5000,5000,4.25,4809,7.0,22.0,69,69.0,797,,,91.0
348,348,58eb0bacd36f081046b7149c,1,5000,5000,4.251,2380,8.0,7.0,-14,-14.0,870,,,-7.0
349,349,582173d6797f2308a87626e7,1,5000,5000,4.252,92654,5.65,5.0,-13,-13.0,998,,,-8.0
350,350,5ac0310597223354603de223,1,5000,5000,4.253,4610,11.0,10.0,-10,-10.0,1556,,,0.0
351,351,5576bb43de4a8c24953ae98f,1,5000,5000,4.257,23609,11.0,10.0,-10,-10.0,1183,,,0.0
352,352,58be241991fd205b2462acc3,1,5000,5000,4.261,32386,14.0,84.0,84,84.0,686,,,168.0
353,353,53c62f6b46188e177eb57b6d,1,5000,5000,4.267,12083,16.0,56.0,72,72.0,781,1.0,100.0,128.0
354,354,59410b5a7c64942ee36dad7a,1,5000,5000,4.279,3209,8.0,7.0,-14,-14.0,894,,,-7.0
355,355,578e0488ba8cd20e9b1b4a3b,1,5000,5000,4.297,13510,5.0,5.0,0,0.0,1013,1.0,100.0,5.0
356,356,589ae185ad330a4feb2b6dd5,1,5000,5000,4.299,68339,8.0,7.0,-14,-14.0,2737,1.0,100.0,-7.0
357,357,593f5bc925c4f57281c63593,1,5000,5000,4.304,4191,3.0,17.0,83,83.0,788,,,100.0
358,358,547bdd648edcfa5656cac810,1,5000,5000,4.306,223392,2.66,3.0,12,12.0,1136,,,15.0
359,359,58f6f47891a95f10f0c54b8c,1,5000,5000,4.316,92005,8.0,7.0,-14,-14.0,1512,,,-7.0
360,360,561921dd9342a274cb448c07,1,5000,5000,4.397,1963,8.0,17.0,53,53.0,907,,,70.0
361,361,5879cca64f3f2e4e79ae70ae,1,5000,5000,4.398,12666,4.0,26.0,85,85.0,825,,,111.0
362,362,585a1ec0b357934ca66b1457,1,5000,5000,4.465,47476,11.0,26.0,58,58.0,1571,,,84.0
363,363,59b29ff23eb22a1355606548,1,5000,5000,4.471,19184,15.0,13.0,-15,-15.0,1257,,,-2.0
364,364,545c2b1790c776172b72d5ab,4,4000,1000,4.057,47356,13.0,11.25,-15,-15.0,407,2.0,50.0,-3.75
365,365,5aa78a0c75599a5bd049d682,5,3200,640,4.033,5264,9.2,11.0,17,16.6,261,1.0,20.0,27.6
366,366,5ae00dbf67d25c69bcf0251c,4,3100,775,4.195,4811,11.5,22.75,14,13.5,167,2.0,50.0,36.25
367,367,5e5363458cd99e4035bcd1c8,3,3000,1000,3.96,703,8.62,63.0,86,86.33,86,1.0,33.0,149.32999999999998
368,368,56fba259138ef73c2a749a56,6,2400,400,3.959,5654,3.12,3.33,9,8.67,97,3.0,50.0,12.0
369,369,5177b0b63feb620dd802a197,5,2300,460,3.79,105015,6.83,6.6,1,1.0,64,2.0,40.0,7.6
370,370,5d5256c527752b19063d8c53,5,2300,460,3.943,247,7.53,6.8,-7,-7.0,51,2.0,40.0,-0.20000000000000018
371,371,5d4a717070327a03c1e7644e,5,2250,450,3.797,3762,6.03,7.0,21,21.2,34,4.0,80.0,28.2
372,372,5952a218e81e8a4c30b5bbbc,4,2200,550,3.957,9470,6.37,5.5,-15,-15.25,197,1.0,25.0,-9.75
373,373,5ae7cee3a71fbf0725de5d43,4,2200,550,4.003,2044,5.89,21.5,60,59.5,84,2.0,50.0,81.0
374,374,570e15d2a18a3f5bc5285b9d,3,2100,700,3.953,7858,6.55,14.67,43,43.0,235,1.0,33.0,57.67
375,375,56c6a33fabb774437118cd63,3,2100,700,3.965,7936,6.0,5.67,-3,-3.0,86,1.0,33.0,2.67
376,376,5ae29b4e1baafe7c0109c5ae,3,2100,700,4.024,3300,7.67,25.33,40,39.67,151,,,65.0
377,377,58c35950e2de036da9e2b570,3,2100,700,4.064,38985,9.67,48.0,65,65.33,359,1.0,33.0,113.33
378,378,5abb2cf26be8733b5bf6844f,3,2100,700,4.117,31138,3.53,6.67,48,48.33,86,1.0,33.0,55.0
379,379,58259c456ebae74739ecfdc8,3,2100,700,4.15,2248,9.67,9.0,-6,-6.0,249,2.0,67.0,3.0
380,380,5ae93337d204cc177313f242,3,2100,700,4.232,4516,9.33,20.33,52,52.33,87,,,72.66
381,381,5d46d6fd4c78550b43ab8351,2,2000,1000,3.476,942,8.0,7.0,-14,-14.0,86,,,-7.0
382,382,5eba4507ad610e0589cab8c3,2,2000,1000,3.677,232,6.0,10.0,40,40.0,87,1.0,50.0,50.0
383,383,565c293d99558d1ed8ae7fb2,2,2000,1000,3.81,28295,6.9,20.0,56,55.5,104,,,75.5
384,384,583512a3b63b3b249b0acc46,2,2000,1000,3.862,25914,6.0,47.0,88,88.0,134,1.0,50.0,135.0
385,385,55d18ce6183a5d103f970011,2,2000,1000,3.871,13979,5.5,19.0,67,67.0,62,,,86.0
386,386,547d7e413b64451274068583,2,2000,1000,3.895,25631,5.85,13.0,55,55.0,602,1.0,50.0,68.0
387,387,5440e3d7f8abc82cbd97b19c,2,2000,1000,3.908,87178,11.0,152.0,93,93.0,808,1.0,50.0,245.0
388,388,546d44001280fa3ce1bf80fa,2,2000,1000,3.91,20478,12.0,17.0,30,30.0,103,1.0,50.0,47.0
389,389,566a25e33a698c1f131fd872,2,2000,1000,3.949,36913,7.5,11.0,30,29.5,59,1.0,50.0,40.5
390,390,5a5c78ee9d0a7b724c6535fa,2,2000,1000,3.965,3373,9.0,65.0,87,87.0,162,1.0,50.0,152.0
391,391,5b8e776e2eb51f7a5900a88a,2,2000,1000,3.965,1322,8.0,7.0,-14,-14.0,373,1.0,50.0,-7.0
392,392,5d47dd864f7ba75f53d67c7c,2,2000,1000,4.012,1290,7.0,50.0,86,86.0,49,1.0,50.0,136.0
393,393,58fde9517c09181253b0ef86,2,2000,1000,4.013,9341,7.0,6.0,-16,-16.0,245,1.0,50.0,-10.0
394,394,58c921126c30436b692b1ead,2,2000,1000,4.039,16523,11.0,33.5,33,33.0,576,1.0,50.0,66.5
395,395,58c910072be00b51c601ccee,2,2000,1000,4.057,6715,10.0,33.5,35,35.0,130,1.0,50.0,68.5
396,396,5adef3559d5e9767b3177472,2,2000,1000,4.06,7034,9.33,8.5,-6,-6.0,295,,,2.5
397,397,59c7610621064f2f6c8c9fe7,2,2000,1000,4.097,2076,8.0,7.0,-14,-14.0,220,,,-7.0
398,398,5d410bd1fe55c814ade29a1c,2,2000,1000,4.109,612,8.0,7.0,-14,-14.0,118,1.0,50.0,-7.0
399,399,580f06685250a20783d33e56,2,2000,1000,4.151,11900,14.0,75.5,82,82.0,159,,,157.5
400,400,548142ac653d51041ac1174f,2,2000,1000,4.173,10377,5.84,11.0,47,47.0,307,1.0,50.0,58.0
401,401,5ae56280ddf45b183333ac45,2,2000,1000,4.182,3161,5.87,36.0,73,72.5,163,,,108.5
402,402,5938c5a58e5b2e6601f01c6f,2,2000,1000,4.184,6775,15.0,68.0,78,78.0,546,1.0,50.0,146.0
403,403,5abf36d540626a753e8fc18a,2,2000,1000,4.288,3883,5.0,5.0,0,0.0,435,1.0,50.0,5.0
404,404,590f2995f3d19c2cba264414,2,2000,1000,4.325,2792,5.0,5.0,0,0.0,31,1.0,50.0,5.0
405,405,5901f6c2a8e3eb2aca4b5559,2,2000,1000,4.331,4508,12.0,22.0,46,45.5,258,2.0,100.0,67.5
406,406,59aebfa350df6107c1eff8c8,2,2000,1000,4.382,13625,7.0,30.0,77,77.0,179,1.0,50.0,107.0
407,407,5b4028d56385741bff3b9163,2,2000,1000,4.391,6187,5.87,11.0,47,47.0,209,1.0,50.0,58.0
408,408,5de0981739adf2a3406bed18,4,1300,325,3.729,288,10.25,9.0,-13,-13.0,101,2.0,50.0,-4.0
409,409,54db03867851097093c0efe7,4,1300,325,3.852,8989,8.5,7.5,-13,-13.5,92,1.0,25.0,-6.0
410,410,5aab3c8ea6bf7a704caec65c,4,1300,325,3.953,17471,7.37,6.5,-14,-14.25,178,1.0,25.0,-7.75
411,411,593fcbd5ff3e807d6a8485ff,4,1300,325,4.024,12919,7.0,6.25,-7,-7.0,22,1.0,25.0,-0.75
412,412,55dc300452a04b658ad68139,3,1200,400,3.895,26473,8.54,24.0,49,48.67,172,1.0,33.0,72.67
413,413,58db84154f0c6b53626b73ac,3,1200,400,3.917,33855,9.26,34.0,53,52.67,171,,,86.67
414,414,5836e38728f25753fe6af6a8,3,1200,400,4.033,45151,12.67,11.0,-15,-15.0,207,1.0,33.0,-4.0
415,415,58a6f92596f1bb57c40b0d56,3,1200,400,4.048,7627,11.22,11.0,2,2.0,182,1.0,33.0,13.0
416,416,5700e7eac1bed1088d6cd40a,3,1200,400,4.106,7363,8.0,9.33,16,15.67,103,,,25.0
417,417,5b0b907d59206904541886cf,3,1200,400,4.218,514,16.0,14.0,-14,-14.0,97,1.0,33.0,0.0
418,418,5864767762a1e84ca30df7c9,3,1200,400,4.235,26833,13.0,93.33,87,87.0,210,,,180.32999999999998
419,419,58b7d6dd3c18975a18817d64,3,1200,400,4.277,794,9.67,8.67,-12,-12.0,60,1.0,33.0,-3.33
420,420,594ba69f2eac11550ec111a1,3,1150,383,4.039,7676,9.28,13.33,35,35.0,90,,,48.33
421,421,575cfe470551415caa5505b5,3,1150,383,4.11,9395,6.67,26.33,76,75.67,206,1.0,33.0,102.0
422,422,5aca1225e053885132dc837a,2,1100,550,3.736,1452,11.5,10.5,-9,-9.5,103,,,1.0
423,423,5d462e58f320403871a78593,2,1100,550,3.838,2055,7.5,6.5,-15,-15.0,93,1.0,50.0,-8.5
424,424,58aec90823ef726994a323fe,2,1100,550,3.867,12134,6.46,5.5,-17,-17.0,243,1.0,50.0,-11.5
425,425,57b58a411f608c02bd6976a4,2,1100,550,3.871,5175,9.5,8.5,-12,-12.0,158,,,-3.5
426,426,5e548120207f9d0685eec2ea,2,1100,550,3.992,484,1.77,5.5,46,45.5,62,1.0,50.0,51.0
427,427,5d5f4780bd01a83fca39e0db,2,1100,550,4.007,1373,1.8,25.5,94,93.5,22,1.0,50.0,119.0
428,428,5684eae9daaaee26a0fdadba,2,1100,550,4.025,47981,8.0,29.5,67,67.0,229,,,96.5
429,429,5d40ffe372b0c94d00f6c1f0,2,1100,550,4.039,1559,5.35,5.0,-4,-4.0,109,1.0,50.0,1.0
430,430,5a9e3a01ccf0c80c2d372870,2,1100,550,4.054,9857,5.33,5.0,-6,-6.5,131,1.0,50.0,-1.5
431,431,556425de56aea60ea1d17778,2,1100,550,4.094,11401,7.0,28.5,40,40.0,69,1.0,50.0,68.5
432,432,5808e2beff6c57435af7df2d,2,1100,550,4.189,2707,4.43,4.5,2,1.5,101,,,6.0
433,433,583658e928f25754106ae102,2,1100,550,4.234,15551,14.0,95.5,86,85.5,115,1.0,50.0,181.0
434,434,556d68d19fb8ca1a0c4d82ee,2,1100,550,4.253,104269,11.5,87.5,88,87.5,375,,,175.0
435,435,5b29ff427752c84390ed6ecf,2,1050,525,4.003,4773,8.5,59.0,85,85.0,25,1.0,50.0,144.0
436,436,584426309b0f754de95d6b50,1,1000,1000,3.583,3809,5.0,22.0,78,78.0,395,,,100.0
437,437,51aff6a38e221e2cafcdc0cb,1,1000,1000,3.59,82219,9.0,9.0,0,0.0,300,,,9.0
438,438,5d3d857c0ff7f937558c4dd1,1,1000,1000,3.626,265,3.87,4.0,4,4.0,62,1.0,100.0,8.0
439,439,5d45349676befe65691dcfbb,1,1000,1000,3.681,342,12.0,11.0,-9,-9.0,286,,,2.0
440,440,5d57d3a9cf65030dc331b0b2,1,1000,1000,3.683,104,11.0,75.0,86,86.0,70,,,161.0
441,441,5d44f6c68388973d77042d83,1,1000,1000,3.703,626,11.0,83.0,87,87.0,118,,,170.0
442,442,5695ee973fa51e32deafd9c9,1,1000,1000,3.741,42514,8.0,18.0,56,56.0,158,,,74.0
443,443,5b6ec2f2838d931d2fbf7a28,1,1000,1000,3.749,6632,9.0,48.0,82,82.0,135,,,130.0
444,444,553c93bcd57a0156022b1598,1,1000,1000,3.761,18762,19.0,17.0,-11,-11.0,255,,,6.0
445,445,5ba0fe4673d934503a6cb6ad,1,1000,1000,3.766,667,11.0,11.0,0,0.0,223,1.0,100.0,11.0
446,446,5dcb9bb2997e90092d624499,1,1000,1000,3.766,821,8.0,7.0,-14,-14.0,294,,,-7.0
447,447,5b17df3f012875082bc82048,1,1000,1000,3.768,2078,11.0,22.0,50,50.0,129,,,72.0
448,448,559f4066577ce11970f7f7fa,1,1000,1000,3.79,21842,4.86,8.0,40,40.0,115,,,48.0
